Grupo;Produto;Ano;Valor
SUCO;Suco de uva orgânico;2004;0
SUCO;Suco de uva orgânico;2005;0
SUCO;Suco de uva orgânico;2006;0
SUCO;Suco de uva orgânico;2007;0
SUCO;Suco de uva orgânico;2008;0
SUCO;Suco de uva orgânico;2009;0
SUCO;Suco de uva orgânico;2010;0
SUCO;Suco de uva orgânico;2011;0
SUCO;Suco de uva orgânico;2012;0
SUCO;Suco de uva orgânico;2013;0
SUCO;Suco de uva orgânico;2014;0
SUCO;Suco de uva orgânico;2015;0
SUCO;Suco de uva orgânico;2016;0
SUCO;Suco de uva orgânico;2017;0
SUCO;Suco de uva orgânico;2018;0
SUCO;Suco de uva orgânico;2019;0
SUCO;Suco de uva orgânico;2020;471610
SUCO;Suco de uva orgânico;2021;722117
SUCO;Suco de uva reconstituído;1970;0
SUCO;Suco de uva reconstituído;1971;0
SUCO;Suco de uva reconstituído;1972;0
SUCO;Suco de uva reconstituído;1973;0
SUCO;Suco de uva reconstituído;1974;0
SUCO;Suco de uva reconstituído;1975;0
SUCO;Suco de uva reconstituído;1976;0
SUCO;Suco de uva reconstituído;1977;0
SUCO;Suco de uva reconstituído;1978;0
SUCO;Suco de uva reconstituído;1979;0
SUCO;Suco de uva reconstituído;1980;0
SUCO;Suco de uva reconstituído;1981;0
SUCO;Suco de uva reconstituído;1982;0
SUCO;Suco de uva reconstituído;1983;0
SUCO;Suco de uva reconstituído;1984;0
SUCO;Suco de uva reconstituído;1985;0
SUCO;Suco de uva reconstituído;1986;0
SUCO;Suco de uva reconstituído;1987;0
SUCO;Suco de uva reconstituído;1988;0
SUCO;Suco de uva reconstituído;1989;0
SUCO;Suco de uva reconstituído;1990;0
SUCO;Suco de uva reconstituído;1991;0
SUCO;Suco de uva reconstituído;1992;0
SUCO;Suco de uva reconstituído;1993;0
SUCO;Suco de uva reconstituído;1994;0
SUCO;Suco de uva reconstituído;1995;0
SUCO;Suco de uva reconstituído;1996;0
SUCO;Suco de uva reconstituído;1997;0
SUCO;Suco de uva reconstituído;1998;0
SUCO;Suco de uva reconstituído;1999;0
SUCO;Suco de uva reconstituído;2000;0
SUCO;Suco de uva reconstituído;2001;0
SUCO;Suco de uva reconstituído;2002;0
SUCO;Suco de uva reconstituído;2003;0
SUCO;Suco de uva reconstituído;2004;0
SUCO;Suco de uva reconstituído;2005;0
SUCO;Suco de uva reconstituído;2006;0
SUCO;Suco de uva reconstituído;2007;0
SUCO;Suco de uva reconstituído;2008;0
SUCO;Suco de uva reconstituído;2009;0
SUCO;Suco de uva reconstituído;2010;0
SUCO;Suco de uva reconstituído;2011;0
SUCO;Suco de uva reconstituído;2012;0
SUCO;Suco de uva reconstituído;2013;0
SUCO;Suco de uva reconstituído;2014;0
SUCO;Suco de uva reconstituído;2015;0
SUCO;Suco de uva reconstituído;2016;0
